frame,landmark_id,x,y,frame_width,frame_height
35,24,534,939,1080,1920
35,25,517,1525,1080,1920
35,26,705,1551,1080,1920
35,27,397,2055,1080,1920
35,28,488,2098,1080,1920
35,29,332,2152,1080,1920
35,30,384,2168,1080,1920
35,31,528,2200,1080,1920
35,32,628,2279,1080,1920
36,0,619,282,1080,1920
36,1,604,246,1080,1920
36,2,595,246,1080,1920
36,3,586,245,1080,1920
36,4,623,241,1080,1920
36,5,629,237,1080,1920
36,6,637,233,1080,1920
36,7,550,237,1080,1920
36,8,628,224,1080,1920
36,9,600,306,1080,1920
36,10,620,299,1080,1920
36,11,401,372,1080,1920
36,12,587,248,1080,1920
36,13,435,700,1080,1920
36,14,682,580,1080,1920
36,15,592,930,1080,1920
36,16,822,879,1080,1920
36,17,637,1000,1080,1920
36,18,856,968,1080,1920
36,19,660,988,1080,1920
36,20,857,970,1080,1920
36,21,636,964,1080,1920
36,22,841,946,1080,1920
36,23,398,989,1080,1920
36,24,533,935,1080,1920
36,25,474,1517,1080,1920
36,26,738,1510,1080,1920
36,27,395,2048,1080,1920
36,28,554,2083,1080,1920
36,29,328,2131,1080,1920
36,30,457,2145,1080,1920
36,31,520,2182,1080,1920
36,32,710,2262,1080,1920
37,0,612,326,1080,1920
37,1,599,289,1080,1920
37,2,591,287,1080,1920
37,3,582,285,1080,1920
37,4,619,282,1080,1920
37,5,625,277,1080,1920
37,6,632,272,1080,1920
37,7,546,269,1080,1920
37,8,626,256,1080,1920
37,9,592,340,1080,1920
37,10,613,333,1080,1920
37,11,399,370,1080,1920
37,12,592,264,1080,1920
37,13,406,690,1080,1920
37,14,678,570,1080,1920
37,15,523,938,1080,1920
37,16,776,886,1080,1920
37,17,558,1015,1080,1920
37,18,793,983,1080,1920
37,19,576,1011,1080,1920
37,20,792,984,1080,1920
37,21,560,986,1080,1920
37,22,781,953,1080,1920
37,23,397,984,1080,1920
37,24,533,933,1080,1920
37,25,461,1516,1080,1920
37,26,764,1472,1080,1920
37,27,390,2029,1080,1920
37,28,579,2075,1080,1920
37,29,324,2121,1080,1920
37,30,479,2133,1080,1920
37,31,516,2166,1080,1920
37,32,750,2237,1080,1920
38,0,613,355,1080,1920
38,1,601,321,1080,1920
38,2,592,321,1080,1920
38,3,584,320,1080,1920
38,4,618,310,1080,1920
38,5,623,302,1080,1920
38,6,629,296,1080,1920
38,7,547,299,1080,1920
38,8,623,279,1080,1920
38,9,592,365,1080,1920
38,10,612,353,1080,1920
38,11,394,375,1080,1920
38,12,594,268,1080,1920
38,13,371,687,1080,1920
38,14,674,560,1080,1920
38,15,459,941,1080,1920
38,16,746,874,1080,1920
38,17,487,1024,1080,1920
38,18,752,975,1080,1920
38,19,506,1024,1080,1920
38,20,752,983,1080,1920
38,21,493,995,1080,1920
38,22,743,949,1080,1920
38,23,397,965,1080,1920
38,24,536,895,1080,1920
38,25,434,1512,1080,1920
38,26,766,1436,1080,1920
38,27,358,2024,1080,1920
38,28,630,2071,1080,1920
38,29,306,2118,1080,1920
38,30,541,2127,1080,1920
38,31,465,2164,1080,1920
38,32,786,2235,1080,1920
39,0,615,401,1080,1920
39,1,608,368,1080,1920
39,2,602,366,1080,1920
39,3,595,364,1080,1920
39,4,621,360,1080,1920
39,5,626,353,1080,1920
39,6,631,345,1080,1920
39,7,557,332,1080,1920
39,8,623,312,1080,1920
39,9,594,408,1080,1920
39,10,612,400,1080,1920
39,11,396,395,1080,1920
39,12,601,288,1080,1920
39,13,373,665,1080,1920
39,14,672,555,1080,1920
39,15,476,906,1080,1920
39,16,719,859,1080,1920
39,17,500,985,1080,1920
39,18,716,959,1080,1920
39,19,518,978,1080,1920
39,20,719,970,1080,1920
39,21,508,951,1080,1920
39,22,715,939,1080,1920
39,23,402,951,1080,1920
39,24,539,886,1080,1920
39,25,428,1509,1080,1920
39,26,762,1445,1080,1920
39,27,358,2019,1080,1920
39,28,655,2074,1080,1920
39,29,306,2116,1080,1920
39,30,563,2151,1080,1920
39,31,466,2146,1080,1920
39,32,834,2235,1080,1920
40,0,613,378,1080,1920
40,1,606,349,1080,1920
40,2,599,348,1080,1920
40,3,591,346,1080,1920
40,4,621,338,1080,1920
40,5,625,331,1080,1920
40,6,631,324,1080,1920
40,7,554,323,1080,1920
40,8,621,298,1080,1920
40,9,591,385,1080,1920
40,10,610,376,1080,1920
40,11,394,403,1080,1920
40,12,605,299,1080,1920
40,13,374,647,1080,1920
40,14,671,552,1080,1920
40,15,483,879,1080,1920
40,16,709,857,1080,1920
40,17,506,950,1080,1920
40,18,708,957,1080,1920
40,19,524,941,1080,1920
40,20,710,967,1080,1920
40,21,515,918,1080,1920
40,22,706,938,1080,1920
40,23,405,944,1080,1920
40,24,560,879,1080,1920
40,25,426,1508,1080,1920
40,26,752,1451,1080,1920
40,27,353,2020,1080,1920
40,28,709,2024,1080,1920
40,29,304,2116,1080,1920
40,30,627,2160,1080,1920
40,31,455,2144,1080,1920
40,32,873,2230,1080,1920
41,0,616,381,1080,1920
41,1,607,354,1080,1920
41,2,600,354,1080,1920
41,3,593,353,1080,1920
41,4,622,342,1080,1920
41,5,627,335,1080,1920
41,6,632,327,1080,1920
41,7,555,330,1080,1920
41,8,621,301,1080,1920
41,9,592,388,1080,1920
41,10,611,376,1080,1920
41,11,396,419,1080,1920
41,12,609,310,1080,1920
41,13,375,642,1080,1920
41,14,668,557,1080,1920
41,15,484,867,1080,1920
41,16,679,852,1080,1920
41,17,508,932,1080,1920
41,18,676,950,1080,1920
41,19,527,922,1080,1920
41,20,678,958,1080,1920
41,21,519,901,1080,1920
41,22,673,929,1080,1920
41,23,407,948,1080,1920
41,24,558,884,1080,1920
41,25,428,1507,1080,1920
41,26,751,1451,1080,1920
41,27,353,1966,1080,1920
41,28,753,1988,1080,1920
41,29,303,2106,1080,1920
41,30,669,2152,1080,1920
41,31,455,2095,1080,1920
41,32,927,2166,1080,1920
42,0,615,380,1080,1920
42,1,606,354,1080,1920
42,2,598,353,1080,1920
42,3,590,352,1080,1920
42,4,622,345,1080,1920
42,5,626,337,1080,1920
42,6,631,330,1080,1920
42,7,554,334,1080,1920
42,8,620,308,1080,1920
42,9,591,385,1080,1920
42,10,611,375,1080,1920
42,11,396,432,1080,1920
42,12,617,324,1080,1920
42,13,368,642,1080,1920
42,14,668,568,1080,1920
42,15,465,864,1080,1920
42,16,678,854,1080,1920
42,17,499,924,1080,1920
42,18,678,945,1080,1920
42,19,522,920,1080,1920
42,20,677,957,1080,1920
42,21,511,901,1080,1920
42,22,670,926,1080,1920
42,23,412,971,1080,1920
42,24,580,920,1080,1920
42,25,427,1515,1080,1920
42,26,749,1475,1080,1920
42,27,344,1988,1080,1920
42,28,775,1972,1080,1920
42,29,298,2105,1080,1920
42,30,699,2156,1080,1920
42,31,440,2095,1080,1920
42,32,862,2029,1080,1920
43,0,623,403,1080,1920
43,1,614,377,1080,1920
43,2,607,376,1080,1920
43,3,600,375,1080,1920
43,4,629,368,1080,1920
43,5,633,361,1080,1920
43,6,638,354,1080,1920
43,7,564,353,1080,1920
43,8,626,330,1080,1920
43,9,599,408,1080,1920
43,10,619,400,1080,1920
43,11,401,450,1080,1920
43,12,622,347,1080,1920
43,13,376,643,1080,1920
43,14,668,580,1080,1920
43,15,471,869,1080,1920
43,16,684,870,1080,1920
43,17,501,928,1080,1920
43,18,686,959,1080,1920
43,19,524,921,1080,1920
43,20,683,971,1080,1920
43,21,512,906,1080,1920
43,22,677,943,1080,1920
43,23,417,992,1080,1920
43,24,590,940,1080,1920
43,25,424,1526,1080,1920
43,26,748,1498,1080,1920
43,27,351,1994,1080,1920
43,28,787,1961,1080,1920
43,29,303,2105,1080,1920
43,30,725,2141,1080,1920
43,31,441,2093,1080,1920
43,32,845,1992,1080,1920
44,0,623,407,1080,1920
44,1,615,385,1080,1920
44,2,608,385,1080,1920
44,3,601,385,1080,1920
44,4,631,375,1080,1920
44,5,636,368,1080,1920
44,6,641,362,1080,1920
44,7,567,367,1080,1920
44,8,631,341,1080,1920
44,9,600,414,1080,1920
44,10,620,404,1080,1920
44,11,408,471,1080,1920
44,12,627,360,1080,1920
44,13,387,662,1080,1920
44,14,671,593,1080,1920
44,15,474,893,1080,1920
44,16,692,886,1080,1920
44,17,502,950,1080,1920
44,18,693,973,1080,1920
44,19,525,953,1080,1920
44,20,693,995,1080,1920
44,21,513,938,1080,1920
44,22,688,963,1080,1920
44,23,424,1010,1080,1920
44,24,603,960,1080,1920
44,25,417,1535,1080,1920
44,26,751,1510,1080,1920
44,27,355,1985,1080,1920
44,28,791,1952,1080,1920
44,29,305,2105,1080,1920
44,30,734,2127,1080,1920
44,31,435,2089,1080,1920
44,32,843,1985,1080,1920
45,0,625,424,1080,1920
45,1,617,403,1080,1920
45,2,610,403,1080,1920
45,3,603,402,1080,1920
45,4,635,395,1080,1920
45,5,640,389,1080,1920
45,6,646,383,1080,1920
45,7,572,387,1080,1920
45,8,639,364,1080,1920
45,9,603,430,1080,1920
45,10,625,422,1080,1920
45,11,422,489,1080,1920
45,12,637,384,1080,1920
45,13,412,682,1080,1920
45,14,677,614,1080,1920
45,15,486,932,1080,1920
45,16,702,907,1080,1920
45,17,514,991,1080,1920
45,18,705,1003,1080,1920
45,19,536,996,1080,1920
45,20,704,1019,1080,1920
45,21,525,980,1080,1920
45,22,698,985,1080,1920
45,23,435,1030,1080,1920
45,24,611,986,1080,1920
45,25,418,1534,1080,1920
45,26,747,1511,1080,1920
45,27,361,1981,1080,1920
45,28,799,1920,1080,1920
45,29,314,2097,1080,1920
45,30,785,1959,1080,1920
45,31,428,2080,1080,1920
45,32,837,1945,1080,1920
46,0,632,435,1080,1920
46,1,622,411,1080,1920
46,2,615,411,1080,1920
46,3,608,411,1080,1920
46,4,640,404,1080,1920
46,5,646,398,1080,1920
46,6,652,393,1080,1920
46,7,581,403,1080,1920
46,8,644,377,1080,1920
46,9,612,443,1080,1920
46,10,633,435,1080,1920
46,11,434,509,1080,1920
46,12,641,396,1080,1920
46,13,432,720,1080,1920
46,14,687,643,1080,1920
46,15,478,962,1080,1920
46,16,713,940,1080,1920
46,17,525,1033,1080,1920
46,18,709,1033,1080,1920
46,19,543,1034,1080,1920
46,20,706,1045,1080,1920
46,21,534,1017,1080,1920
46,22,705,1015,1080,1920
46,23,446,1048,1080,1920
46,24,615,1000,1080,1920
46,25,419,1540,1080,1920
46,26,744,1514,1080,1920
46,27,361,2000,1080,1920
46,28,791,1904,1080,1920
46,29,318,2100,1080,1920
46,30,782,1928,1080,1920
46,31,423,2083,1080,1920
46,32,835,1937,1080,1920
47,0,633,441,1080,1920
47,1,622,411,1080,1920
47,2,615,411,1080,1920
47,3,608,411,1080,1920
47,4,641,405,1080,1920
47,5,647,400,1080,1920
47,6,653,396,1080,1920
47,7,583,407,1080,1920
47,8,649,386,1080,1920
47,9,615,452,1080,1920
47,10,637,446,1080,1920
47,11,440,519,1080,1920
47,12,663,431,1080,1920
47,13,439,742,1080,1920
47,14,702,680,1080,1920
47,15,477,987,1080,1920
47,16,744,982,1080,1920
47,17,500,1051,1080,1920
47,18,738,1070,1080,1920
47,19,549,1059,1080,1920
47,20,728,1081,1080,1920
47,21,541,1044,1080,1920
47,22,727,1056,1080,1920
47,23,456,1054,1080,1920
47,24,633,1009,1080,1920
47,25,421,1538,1080,1920
47,26,736,1512,1080,1920
47,27,368,1997,1080,1920
47,28,778,1885,1080,1920
47,29,327,2077,1080,1920
47,30,772,1910,1080,1920
47,31,423,2059,1080,1920
47,32,829,1900,1080,1920
48,0,636,461,1080,1920
48,1,623,425,1080,1920
48,2,616,424,1080,1920
48,3,608,424,1080,1920
48,4,644,422,1080,1920
48,5,651,418,1080,1920
48,6,659,415,1080,1920
48,7,588,423,1080,1920
48,8,658,412,1080,1920
48,9,619,478,1080,1920
48,10,644,473,1080,1920
48,11,444,529,1080,1920
48,12,688,469,1080,1920
48,13,439,762,1080,1920
48,14,723,719,1080,1920
48,15,496,978,1080,1920
48,16,768,1024,1080,1920
48,17,489,1040,1080,1920
48,18,775,1103,1080,1920
48,19,554,1040,1080,1920
48,20,762,1109,1080,1920
48,21,547,1023,1080,1920
48,22,754,1083,1080,1920
48,23,467,1047,1080,1920
48,24,645,1014,1080,1920
48,25,438,1533,1080,1920
48,26,728,1509,1080,1920
48,27,384,1983,1080,1920
48,28,763,1878,1080,1920
48,29,336,2057,1080,1920
48,30,744,1918,1080,1920
48,31,425,1957,1080,1920
48,32,824,1903,1080,1920
49,0,643,463,1080,1920
49,1,629,429,1080,1920
49,2,621,428,1080,1920
49,3,613,428,1080,1920
49,4,651,425,1080,1920
49,5,659,421,1080,1920
49,6,667,419,1080,1920
49,7,597,429,1080,1920
49,8,669,419,1080,1920
49,9,626,483,1080,1920
49,10,653,477,1080,1920
49,11,451,542,1080,1920
49,12,709,487,1080,1920
49,13,450,785,1080,1920
49,14,738,752,1080,1920
49,15,512,1034,1080,1920
49,16,791,1056,1080,1920
49,17,490,1093,1080,1920
49,18,800,1139,1080,1920
49,19,561,1090,1080,1920
49,20,793,1146,1080,1920
49,21,554,1073,1080,1920
49,22,782,1116,1080,1920
49,23,479,1060,1080,1920
49,24,664,1035,1080,1920
49,25,461,1531,1080,1920
49,26,717,1509,1080,1920
49,27,400,1974,1080,1920
49,28,762,1881,1080,1920
49,29,360,2061,1080,1920
49,30,729,1927,1080,1920
49,31,439,1949,1080,1920
49,32,821,1903,1080,1920
50,0,650,461,1080,1920
50,1,637,431,1080,1920
50,2,629,430,1080,1920
50,3,621,430,1080,1920
50,4,660,427,1080,1920
50,5,667,424,1080,1920
50,6,676,422,1080,1920
50,7,606,434,1080,1920
50,8,677,426,1080,1920
50,9,634,482,1080,1920
50,10,661,477,1080,1920
50,11,459,557,1080,1920
50,12,724,505,1080,1920
50,13,465,796,1080,1920
50,14,758,773,1080,1920
50,15,512,1030,1080,1920
50,16,807,1065,1080,1920
50,17,492,1096,1080,1920
50,18,818,1145,1080,1920
50,19,561,1099,1080,1920
50,20,813,1152,1080,1920
50,21,554,1083,1080,1920
50,22,800,1123,1080,1920
50,23,492,1068,1080,1920
50,24,673,1044,1080,1920
50,25,478,1531,1080,1920
50,26,710,1508,1080,1920
50,27,404,1957,1080,1920
50,28,753,1889,1080,1920
50,29,372,2061,1080,1920
50,30,722,1937,1080,1920
50,31,440,1940,1080,1920
50,32,820,1916,1080,1920
51,0,668,474,1080,1920
51,1,659,446,1080,1920
51,2,651,446,1080,1920
51,3,642,445,1080,1920
51,4,682,444,1080,1920
51,5,689,441,1080,1920
51,6,698,439,1080,1920
51,7,626,450,1080,1920
51,8,698,443,1080,1920
51,9,650,493,1080,1920
51,10,677,489,1080,1920
51,11,474,559,1080,1920
51,12,736,524,1080,1920
51,13,479,791,1080,1920
51,14,774,806,1080,1920
51,15,540,1029,1080,1920
51,16,832,1087,1080,1920
51,17,504,1102,1080,1920
51,18,845,1164,1080,1920
51,19,581,1090,1080,1920
51,20,841,1168,1080,1920
51,21,574,1074,1080,1920
51,22,830,1139,1080,1920
51,23,502,1066,1080,1920
51,24,681,1048,1080,1920
51,25,492,1526,1080,1920
51,26,705,1508,1080,1920
51,27,403,1948,1080,1920
51,28,747,1885,1080,1920
51,29,369,2047,1080,1920
51,30,717,1932,1080,1920
51,31,444,1944,1080,1920
51,32,819,1907,1080,1920
52,0,674,471,1080,1920
52,1,666,447,1080,1920
52,2,658,447,1080,1920
52,3,650,446,1080,1920
52,4,689,445,1080,1920
52,5,697,444,1080,1920
52,6,705,442,1080,1920
52,7,632,451,1080,1920
52,8,707,446,1080,1920
52,9,656,490,1080,1920
52,10,683,487,1080,1920
52,11,481,563,1080,1920
52,12,747,534,1080,1920
52,13,488,790,1080,1920
52,14,791,813,1080,1920
52,15,559,1001,1080,1920
52,16,853,1086,1080,1920
52,17,570,1042,1080,1920
52,18,868,1162,1080,1920
52,19,603,1037,1080,1920
52,20,863,1166,1080,1920
52,21,598,1025,1080,1920
52,22,849,1137,1080,1920
52,23,511,1066,1080,1920
52,24,686,1053,1080,1920
52,25,498,1515,1080,1920
52,26,705,1508,1080,1920
52,27,401,1927,1080,1920
52,28,738,1883,1080,1920
52,29,370,1965,1080,1920
52,30,716,1926,1080,1920
52,31,439,1971,1080,1920
52,32,818,1909,1080,1920
53,0,685,485,1080,1920
53,1,679,460,1080,1920
53,2,672,459,1080,1920
53,3,665,458,1080,1920
53,4,699,460,1080,1920
53,5,706,458,1080,1920
53,6,714,456,1080,1920
53,7,644,460,1080,1920
53,8,713,456,1080,1920
53,9,667,502,1080,1920
53,10,690,500,1080,1920
53,11,494,565,1080,1920
53,12,752,539,1080,1920
53,13,506,786,1080,1920
53,14,797,810,1080,1920
53,15,584,972,1080,1920
53,16,873,1085,1080,1920
53,17,602,1005,1080,1920
53,18,891,1161,1080,1920
53,19,626,998,1080,1920
53,20,885,1165,1080,1920
53,21,623,987,1080,1920
53,22,872,1137,1080,1920
53,23,525,1065,1080,1920
53,24,694,1053,1080,1920
53,25,502,1491,1080,1920
53,26,707,1508,1080,1920
53,27,399,1892,1080,1920
53,28,733,1882,1080,1920
53,29,367,1922,1080,1920
53,30,716,1917,1080,1920
53,31,416,1961,1080,1920
53,32,812,1899,1080,1920
54,0,699,493,1080,1920
54,1,691,469,1080,1920
54,2,684,467,1080,1920
54,3,677,466,1080,1920
54,4,711,468,1080,1920
54,5,718,466,1080,1920
54,6,725,463,1080,1920
54,7,654,467,1080,1920
54,8,722,461,1080,1920
54,9,679,509,1080,1920
54,10,701,507,1080,1920
54,11,497,570,1080,1920
54,12,755,541,1080,1920
54,13,518,791,1080,1920
54,14,803,803,1080,1920
54,15,595,983,1080,1920
54,16,892,1075,1080,1920
54,17,611,1018,1080,1920
54,18,910,1152,1080,1920
54,19,630,1014,1080,1920
54,20,902,1155,1080,1920
54,21,629,1002,1080,1920
54,22,891,1128,1080,1920
54,23,531,1068,1080,1920
54,24,693,1056,1080,1920
54,25,505,1470,1080,1920
54,26,710,1508,1080,1920
54,27,394,1860,1080,1920
54,28,733,1879,1080,1920
54,29,353,1892,1080,1920
54,30,713,1903,1080,1920
54,31,407,1955,1080,1920
54,32,810,1895,1080,1920
55,0,702,501,1080,1920
55,1,695,477,1080,1920
55,2,687,475,1080,1920
55,3,680,473,1080,1920
55,4,715,475,1080,1920
55,5,721,473,1080,1920
55,6,728,470,1080,1920
55,7,657,473,1080,1920
55,8,724,466,1080,1920
55,9,683,517,1080,1920
55,10,705,514,1080,1920
55,11,501,578,1080,1920
55,12,755,544,1080,1920
55,13,528,806,1080,1920
55,14,805,803,1080,1920
55,15,591,1020,1080,1920
55,16,902,1068,1080,1920
55,17,606,1067,1080,1920
55,18,924,1143,1080,1920
55,19,626,1066,1080,1920
55,20,917,1147,1080,1920
55,21,624,1050,1080,1920
55,22,905,1120,1080,1920
55,23,535,1072,1080,1920
55,24,694,1061,1080,1920
55,25,513,1466,1080,1920
55,26,711,1508,1080,1920
55,27,386,1844,1080,1920
55,28,730,1880,1080,1920
55,29,328,1880,1080,1920
55,30,712,1910,1080,1920
55,31,408,1953,1080,1920
55,32,810,1896,1080,1920
56,0,707,519,1080,1920
56,1,699,494,1080,1920
56,2,691,494,1080,1920
56,3,684,492,1080,1920
56,4,719,493,1080,1920
56,5,725,489,1080,1920
56,6,732,486,1080,1920
56,7,660,486,1080,1920
56,8,727,478,1080,1920
56,9,687,531,1080,1920
56,10,708,528,1080,1920
56,11,503,586,1080,1920
56,12,754,546,1080,1920
56,13,525,808,1080,1920
56,14,805,802,1080,1920
56,15,596,1018,1080,1920
56,16,907,1062,1080,1920
56,17,614,1066,1080,1920
56,18,928,1140,1080,1920
56,19,631,1064,1080,1920
56,20,922,1141,1080,1920
56,21,629,1049,1080,1920
56,22,911,1119,1080,1920
56,23,539,1071,1080,1920
56,24,693,1057,1080,1920
56,25,523,1449,1080,1920
56,26,711,1490,1080,1920
56,27,387,1819,1080,1920
56,28,729,1879,1080,1920
56,29,322,1867,1080,1920
56,30,711,1913,1080,1920
56,31,436,1938,1080,1920
56,32,810,1896,1080,1920
57,0,708,527,1080,1920
57,1,699,503,1080,1920
57,2,691,502,1080,1920
57,3,684,500,1080,1920
57,4,719,500,1080,1920
57,5,725,497,1080,1920
57,6,731,493,1080,1920
57,7,658,494,1080,1920
57,8,726,485,1080,1920
57,9,688,539,1080,1920
57,10,709,535,1080,1920
57,11,505,592,1080,1920
57,12,751,547,1080,1920
57,13,539,818,1080,1920
57,14,807,801,1080,1920
57,15,596,1022,1080,1920
57,16,911,1051,1080,1920
57,17,611,1070,1080,1920
57,18,932,1112,1080,1920
57,19,629,1067,1080,1920
57,20,927,1111,1080,1920
57,21,628,1051,1080,1920
57,22,916,1093,1080,1920
57,23,540,1071,1080,1920
57,24,690,1054,1080,1920
57,25,526,1436,1080,1920
57,26,713,1486,1080,1920
57,27,392,1808,1080,1920
57,28,728,1876,1080,1920
57,29,322,1854,1080,1920
57,30,711,1911,1080,1920
57,31,440,1925,1080,1920
57,32,805,1889,1080,1920
58,0,711,540,1080,1920
58,1,703,518,1080,1920
58,2,695,516,1080,1920
58,3,688,514,1080,1920
58,4,722,515,1080,1920
58,5,727,511,1080,1920
58,6,733,507,1080,1920
58,7,662,507,1080,1920
58,8,727,498,1080,1920
58,9,691,549,1080,1920
58,10,711,545,1080,1920
